document_id,title,domain,source_name,source_url,collection_date
doc_windows_client_slow_laptop_windbg_001,Windows Laptop Slow Performance & WinDbg Memory Dump Diagnostics,windows_client,Microsoft Learn,https://learn.microsoft.com/en-us/troubleshoot/windows-client/,2026-09-06
doc_windows_client_windows_update_dism_002,Windows Update Servicing Failure 0x80070002 & DISM Component Repair,windows_client,Microsoft Learn,https://learn.microsoft.com/en-us/troubleshoot/windows-client/,2026-09-06
doc_windows_client_wifi_adapter_winsock_003,Windows Wi-Fi Adapter WLAN Report & TCP/IP Winsock Reset Protocol,windows_client,Microsoft Learn,https://learn.microsoft.com/en-us/troubleshoot/windows-client/,2026-09-06
doc_windows_client_bluetooth_code43_reset_004,Windows Bluetooth Peripheral Driver Code 43 & Radio Reset,windows_client,Microsoft Learn,https://learn.microsoft.com/en-us/troubleshoot/windows-client/,2026-09-06
doc_windows_client_keyboard_mouse_hid_power_005,Windows Keyboard/Mouse HID Filter Keys & Power Selective Suspend,windows_client,Microsoft Learn,https://learn.microsoft.com/en-us/troubleshoot/windows-client/,2026-09-06
doc_windows_client_multimonitor_gpu_crash_006,Windows Multi-Monitor Dock DisplayPort Alt-Mode GPU Driver Crash,windows_client,Microsoft Learn,https://learn.microsoft.com/en-us/troubleshoot/windows-client/,2026-09-06
doc_windows_client_storage_disk_cleanup_007,Windows Storage Volume Disk Space Cleanup & TreeSize Analysis,windows_client,Microsoft Learn,https://learn.microsoft.com/en-us/troubleshoot/windows-client/,2026-09-06
doc_windows_client_bitlocker_tpm_recovery_008,Windows BitLocker TPM 2.0 Provisioning & Recovery Key Escrow,windows_client,Microsoft Learn,https://learn.microsoft.com/en-us/troubleshoot/windows-client/,2026-09-06
doc_windows_client_wsl2_kernel_vhdx_009,Windows Subsystem for Linux (WSL2) Kernel Update & VHDX Shrink,windows_client,Microsoft Learn,https://learn.microsoft.com/en-us/troubleshoot/windows-client/,2026-09-06
doc_windows_client_user_profile_registry_fix_010,Windows User Profile Service Logon Failure & Registry Hive Fix,windows_client,Microsoft Learn,https://learn.microsoft.com/en-us/troubleshoot/windows-client/,2026-09-06
doc_windows_server_ad_sysvol_dfsr_failure_011,Active Directory Domain Controller SYSVOL Replication Failure (DFSR),windows_server,Microsoft Learn,https://learn.microsoft.com/en-us/windows-server/troubleshoot/,2026-09-06
doc_windows_server_kerberos_spn_failure_012,Kerberos Authentication Ticket Expiration & SPN Registration Failure,windows_server,Microsoft Learn,https://learn.microsoft.com/en-us/windows-server/troubleshoot/,2026-09-06
